(Do Not Modify) Product,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Product ID,Supplier Item number,Status
06f5f82b-8098-eb11-b1ac-000d3a46cba9,gqkHS8jcVfXX6uTAxEa+gBa+bVsw9LT1MjorSer3zlpC642bXl/EfjyHFh/voxLNejzH50X5+OLUflxsLtRH2A==,6/27/24 10:20,Kværn Wilfa Svart uniform WSFBS-100B inkl. vægt,X290000158,605776,Active
f98b9d8a-2c9b-ed11-aad1-6045bd8c5f76,JUSrW9rU7Dv9JwWSs3EMN+X6asqsg//7krQVhgKN8p/RRFf/Gg3U53m0xWro6ogoPAJZIVqbLG9g4TlBmi8QKA==,7/24/24 17:21,Kalerm C5 Køleskab sort (TEST),X150100514,4,Active
3bc0a81e-2c9b-ed11-aad1-6045bd8f99d4,WTN9FufouMOtA0V7xwZyzwaRNOrEjeKINuxCnVVm6fo2TzcBCBQKTFZFo1U1d7e5ekn5n63OOUT1Ymnray8O8A==,7/24/24 17:21,Kalerm M50LT Kaffemaskine sort (TEST),X150100512,2,Active
a669a434-1d6b-ed11-9561-6045bd8c5f76,zqFgaH1KN69EsltYrxKGLX7/sAhEOrrkkqPabh16Q194I7nG7mjkLlrgih5OeKOHblRB5GTMdZzyUZAZXettcg==,7/24/24 17:21,Kalerm X680 Kaffemaskine sort (TEST),X150100494,1,Active
0cabf1ce-7e98-eb11-b1ac-000d3a46cba9,q1WJMtANjv4bbpdD5uUscmnEJngIYuXyB7gdIKuzw6HrV0kh/4DgMrHNWihIpX2M3yNXOfPg2R0kMHeU7uuaBA==,6/27/24 10:19,Div. (BRUGES IKKE),X130304273,4711,Active
0824fed5-f79d-eb11-b1ac-000d3a25bedb,lI9nuY8nnf2S+CNMq7r8YX2pC+zSSgbce7cw13XlHI+hAqok9yhZFE2cA+LKOHbMov9k1bH0Hb+KO9nAUyoP/Q==,7/31/24 12:54,Skiftes af kunde,Skiftes af kunde,,Active
11d2b841-8498-eb11-b1ac-000d3a479bb4,WtSed+guJJF7gr+0M3JuwB2fQF89jz9n7KsjwM7BWqublGlToP9c0RjJdKwigzOWueehcAsc2i+Q/gPxxDOLbA==,6/27/24 10:19,Fragt og ekspeditionsgebyr,999750000,999-75,Active
70432747-8498-eb11-b1ac-000d3a46cba9,jartOHXlCs4iSqWmxkweRHqetIIlDMGU61OmmKYpXyb/K59D5FpdKhHCSq4v97Vj1VRW+VY4G6ymIi1VncVQXw==,6/27/24 10:20,Levering med opbæring,999100000,999-1,Active
5d432747-8498-eb11-b1ac-000d3a46cba9,frPmqPtPrnTLgRlscnIigV0Nc/X7jXwHzmm2FkHnkzglofStP8SmQSuCvZFDMsBPM+K1WBjK0tLxqGyT9g6Bkw==,6/27/24 10:19,Fragt udland excl moms,998000000,998,Active
388a2c60-2ba7-ef11-b8e8-7c1e52526acb,BI1QsoW8Y8P4EJkkEXUNJxYe1Ohxs5fQFjlmezlK5YXT9HhuGo9IpzhhATaKpbCjEbSr5MXEQQsA9fkcDcgCVw==,2/19/25 17:09,Label Instantbeholder Shell Kakao,471200042,471200041,Active
235f2b6c-2ba7-ef11-b8e8-7c1e52526acb,S5pX9IkwtbQ1tHG9RYZuvSCIG2YrzbhuNDgPiAHZagzX+Vh2V9Fgm3c4sc/i6I4bmyAd5e9wS0WCJkZFHBrylw==,2/19/25 17:09,Label Bønnebeholder Shell Kaffe,471200041,471200041,Active
6612655a-2ba7-ef11-b8e8-7c1e52269140,82n4UtpJWcW71ECXTkCLSR0mVKHLqMt1IZ+LFLwzZPFQfMnWDGrXYl3EpIXGCFq/px3+jdUaEe5/FhBRLfH/Kg==,1/23/25 17:10,Label Instantbeholder Byens Bedste Kakao,471200040,471200040,Active
ff892c60-2ba7-ef11-b8e8-7c1e52526acb,Y/6CDhhizbXxBV/pg/hAvjuH2YMILCH7Fh0cFxghynQsvd2jKwNVMDGuTsWGpXZgXQiz/xS5vTzZJDwDgmEQcw==,1/23/25 17:10,Label Bønnebeholder Byens Bedste Kaffe,471200039,471200039,Active
9f182795-5881-ef11-ac20-6045bd958b20,2iAfaTFyZxfe0IIl0OJLy8LWiobCSz9ddA1s4U13Sh6HoojPZCM31jaZ610zZc4mcDSsdpS/8T7kWnP+E5dP7A==,2/19/25 17:09,Label Bønnebeholder Classic House Blend Roast,471200038,471200038,Active
590f1a39-f632-ef11-840a-000d3a2cb8d7,0iQQdK9PXesaMIAE3hJFJjyiFfJvwsdC//k3i0y4UbByjyNtiaVdY3ccb8WHh8upvstPt9t5tr+exlEdiCJ/kg==,3/7/25 17:08,Label Bønnebeholder Classic Nordic Blend Roast,471200037,471200037,Active
1fb7c0a1-f532-ef11-8409-000d3abd767e,aU1bo4omYETLUOFFCptL443d1StQhgdzJTqH1aRkcfK/zHn8SlGSREiclL9JGrGj3w/MlJ9LcupOyKz97Xeenw==,3/11/25 17:11,Label Bønnebeholder Classic Nordic Blend Espresso,471200036,471200036,Active
4fb9676b-a6df-ee11-904d-00224884230b,zFVYeR8dXTC46N2lkHl/yerN/t4Bzqa3/naBKhanBNlzZCmZvW7YWJsEgdVaff2RF5Y9HkuWZz1JkqwJQ9Fu8g==,3/10/25 17:09,Label Instantbeholder Mælkepulver,471200035,471200035,Active
5a8308fb-a7c9-ee11-9078-002248814792,TZ/cSOthwOO2+tRUhdDqQyFKEHbnaBzvAMVXsgiwdAddi7rzNjh+WigWlApmHVzNUkQg3HS9f91k8ZOgdEUG8g==,9/6/24 06:03,Label Bønnebeholder African Roast formalet,471200034,471200034,Active
e6cc8daf-a7c9-ee11-9078-000d3aaa2f7e,oYMOnpNV1fCE2vSV0+Q3hZtZ6FPrH3uv/xwRlzzzoRPG6YmsMH5TegRIU+ovqUWxHkQ9CewqPPKGiH2iuAcTng==,3/5/25 17:13,Label Bønnebeholder African Espresso hele bønner,471200033,471200033,Active
5f07537c-a7c9-ee11-9078-000d3abea682,9ADPUT3IN/wpSw/62Bpm2qxMpglxymmAxP0l8q82DUcyomVHyynGhUUwnhdcoHGEupE0ZkBng+ExvJkKJdq72Q==,3/10/25 17:09,Label Bønnebeholder African Roast hele bønner,471200032,471200032,Active
26c8ab50-b234-ed11-9db1-6045bd8f99d4,YSdS+m5o7xJWmFEans+rLrV02JtiCzsiVWnwkKjjOe6wtDbSYd9/j+EIx/fgU6wSsiBlEoBg2GNWrHh8rqjVVg==,9/6/24 06:03,Coop Label for bønnebeholdere Cirkel Pigen,471200031,,Active
5acf7725-e10b-ec11-b6e6-002248824679,nXBXwOvwmphD6cYEuCaKj6/UguJnfsNk1XUr6kKU1LwxohSzdshjwNu2O76Kiq+0O0S2AWG6bqJ3GAEQTjWB9g==,6/27/24 10:20,No Ordinary Cup of Coffee A5,471200029,471200029,Active
29e539ec-c9c9-eb11-bacc-000d3a21f34b,IzyMaXGKi9LShVRBD6EE0ofD0qIPHxYifa5SLH7g5q0etYykKFsclRk73B6mbSwmQMtX1As4qPoApTeWwnanbg==,3/7/25 17:08,Label bønnebeholder Rio Coco Organic Med Roast,471200027,471200027,Active
aab8303d-70c3-eb11-bacc-0022487f3855,kIqoDYSDNLq2YXpclywPle3bqiPauDk7luLdd23fgGJxqUBxvgEsuU9Y2mcoh5AmEO3hcahi8HiMkVuPsR/lZQ==,3/5/25 07:04,Label bønnebeholder Mexico La Concordia medium,471200025,471200025,Active
e6d14bb3-01b3-eb11-8236-000d3a44852e,Mk/Ahgb8W1nzvjaGznkb/wXAz8+TaBCHwZ6N61NIZTYSaKJUrJBTcQvbSIej7c45WGvyYcfwjHNubVf/Kc39/Q==,3/10/25 17:09,Label Instantbeholder Kakao,471200024,41209019,Active
1f8e3545-cfc9-eb11-bacc-000d3a21e497,tD5ek16vE8ursnBIKaPPDGsbrED/SklTJxebwscr/kUSUId3MWY/WvF+AwfFdc5PppMqTMOvow04Bbq9QRnY7Q==,2/27/25 17:14,Label Bønneneholder All Day økologisk espresso roast,471200018,41209001,Active
6a0eb385-8598-eb11-b1ac-000d3a479bb4,v52FcOAkXPuehTXVlCMErnE2YjaVYU4KBOEk/pVpMpDrbKgfaGbBT95u/Vq8PHbQyWLTrurqKPvVwNUpXOnqWQ==,6/27/24 10:19,Bentax FLC Kaffebar V3,471200017,FMI000444,Active
