Producent,Typer,Koder,KodeBeskrivelser,Fejl,Prioritering,Løsningsforslag,Varenumer prioritet 1,Varenummer prioritet 2,Varenummer prioritet 3,KodeBeskrivelser (service),Fejl (service),Spørgsmål 1,Spørgsmål 2,Spørgsmål 3,Kunden kan prøve,Send tekniker ja / nej,URL-links,URL-links_Kundeserviceinformationer,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Thermoplan,BW3,Ready (TX0001),Ready (TX0001),Maskinen er klar til brug,1.0,Maskinen indikerer at den er klar til brug.,,,,Ready (TX0001),Ready (TX0001),,,,Generel meddelelse om at maskinen er klar til brug.,,,,,,,,,,,,
Thermoplan,BW3,NTC coffeeboiler open (TX0101),NTC coffeeboiler open (TX0101),"[1] Der er opstået en kortslutning af temperaturføleren (NTC) 
[2] Temperaturføler er defekt
",1.0,Efterse at temperaturen i 'System Check' -> 'Boiler temperature' - referenceværdi: 91°C.,,,,NTC coffeeboiler open (TX0101),NTC coffeeboiler open (TX0101),,,,Kunden kan desværre ikke gøre noget.,,,,,,,,,,,,
Thermoplan,BW3,NTC coffeeboiler open (TX0101),NTC coffeeboiler open (TX0101),"[1] Der er opstået en kortslutning af temperaturføleren (NTC) 
[2] Temperaturføler er defekt
",2.0,Kontroller ledningsnettet og stikforbindelserne for kaffeboilerens temperaturføler.,,,,NTC coffeeboiler open (TX0101),NTC coffeeboiler open (TX0101),,,,Kunden kan desværre ikke gøre noget.,,,,,,,,,,,,
Thermoplan,BW3,NTC coffeeboiler open (TX0101),NTC coffeeboiler open (TX0101),"[1] Der er opstået en kortslutning af temperaturføleren (NTC) 
[2] Temperaturføler er defekt
",3.0,Test temperaturføleren - referenceværdi: 10 k-ohm / 25°C.,,,,NTC coffeeboiler open (TX0101),NTC coffeeboiler open (TX0101),,,,Kunden kan desværre ikke gøre noget.,,,,,,,,,,,,
Thermoplan,BW3,NTC coffeeboiler open (TX0101),NTC coffeeboiler open (TX0101),"[1] Der er opstået en kortslutning af temperaturføleren (NTC) 
[2] Temperaturføler er defekt
",4.0,"Hvis ovenstående step [1] - [3] ikke virker, skift NTC (117112).",117112,,,NTC coffeeboiler open (TX0101),NTC coffeeboiler open (TX0101),,,,Kunden kan desværre ikke gøre noget.,,,,,,,,,,,,
Thermoplan,BW3,Empty grounds drawer (TX0104),Empty grounds drawer (TX0104),Grumseskuffen skal tømmes. Skuffen skal være væk fra 'reed'-kontakten i mindst 5 sekunder.,1.0,Efterse at bønnebeholden er monteret korrekt og har kontakt til 'reed'-kontakten.,,,,Empty grounds drawer (TX0104),Empty grounds drawer (TX0104),,,,Kunden kan prøve at have grumseskuffen ude i mindst 5 sekunder. Herefter burde maskintælleren have registreret at grumseskuffen er blevet tømt.,,,,,,,,,,,,
Thermoplan,BW3,Empty grounds drawer (TX0104),Empty grounds drawer (TX0104),Grumseskuffen skal tømmes. Skuffen skal være væk fra 'reed'-kontakten i mindst 5 sekunder.,2.0,"Test 'reed'-kontakten (118006) på siden (højre), dette kan gøres ved at påsætte en magnet på 'reed'-kontakten og udføre en kontinuitetstest med et mulitmeter.",118006,,,Empty grounds drawer (TX0104),Empty grounds drawer (TX0104),,,,Kunden kan prøve at have grumseskuffen ude i mindst 5 sekunder. Herefter burde maskintælleren have registreret at grumseskuffen er blevet tømt.,,,,,,,,,,,,
Thermoplan,BW3,Empty grounds drawer (TX0104),Empty grounds drawer (TX0104),Grumseskuffen skal tømmes. Skuffen skal være væk fra 'reed'-kontakten i mindst 5 sekunder.,3.0,Efterse magneten på grumseskuffens bagside..,,,,Empty grounds drawer (TX0104),Empty grounds drawer (TX0104),,,,Kunden kan prøve at have grumseskuffen ude i mindst 5 sekunder. Herefter burde maskintælleren have registreret at grumseskuffen er blevet tømt.,,,,,,,,,,,,
Thermoplan,BW3,Drain Tub Full (TX0105),Drain Tub Full (TX0105),Der er en utæthed i maskinen.,1.0,Følerene i bunden af maskinen (under grumsebakken) har registreret vand.,,,,Drain Tub Full (TX0105),Drain Tub Full (TX0105),,,,Følerene i bunden af maskinen (under grumsebakken) har registreret vand. Kunden kan prøve at aftørre disse to små følere i den runde ring i bunden af maskinen for at se om dette afhjælper problemet.,,,,,,,,,,,,
Thermoplan,BW3,Drain Tub Full (TX0105),Drain Tub Full (TX0105),Der er en utæthed i maskinen.,2.0,Efterse hvor utætheden kommer fra.,,,,Drain Tub Full (TX0105),Drain Tub Full (TX0105),,,,Følerene i bunden af maskinen (under grumsebakken) har registreret vand. Kunden kan prøve at aftørre disse to små følere i den runde ring i bunden af maskinen for at se om dette afhjælper problemet.,,,,,,,,,,,,
