Work Order,Postal Code,First Arrived On,Completed On,Primary Incident Customer Asset,Customer Asset,Line Status,Incident Type,Primær Asset Kategori,Primær Asset Produkt,Work Order Type,Primary Incident Type,Instructions,Intern note,Koptæller,Product ID (Product) (Product),Supplier Item number (Product) (Product),Name,Quantity
00031,2100,2021-04-19 09:36:00,2021-04-19 12:23:00,B1137758,B1137758H,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Nedbrud,Suger ikke mælk op.,"TLF afventer Lars T, procenter kommer ikke rigtig ind. ",24753.0,130301137,101224,Mælkepumpe Kit for BW4c,1.0
00085,1219,2021-04-20 13:02:00,2021-04-20 15:24:00,BW148472,BW148472B,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CTS2,Nedbrud,Nedbrud,Ønsker opstart af maskinerne inden åbning. Den 19 eller 20. april.,,22617.0,130301535,108793,Ventil Pakning TP,1.0
WO000144,4791,2021-04-20 09:45:00,2021-04-20 13:11:00,BW150495,17250113,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Den blå rensenøgle er knækket og sidder fast.,,15624.0,130302031,120930,Rensenøgle for mælk TP,1.0
WO000146,6854,2021-04-22 13:11:00,2021-04-22 14:45:00,BW098572,BW098572,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTS2,Nedbrud,Nedbrud,"Kværnen sætter sætter sig fast i kværnen. Jette er villig til at prøve pr telefonen 
30660168",,53530.0,130301280,104484,Mobil piston komplet TP,1.0
WO000147,8210,2021-04-21 09:55:00,2021-07-08 15:49:00,BW150240,201903001095,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,"Mail fra Kontra: flow error, ingen mælk",,105452.0,130302070,121459,Rensenøgle for mælk komplet TP,1.0
WO000160,8362,2021-04-19 14:06:00,2021-04-19 14:16:00,BW134228,BW134228,Used,Nedbrud Frisk mælk Thermoplan,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud Frisk mælk Thermoplan,Problemer med mælkedrikkene og ,,51258.0,130301715,116819,Milk Heating Coil TP,1.0
WO000175,9850,2021-04-26 09:30:00,2021-04-26 11:11:00,BW084482,BW084482,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud,Nedbrud,"Gennemgang før opstart. 
Færge er i dok fra kl.7 til kl.19 mandag d. 26/4. 
PÅKRÆVET NEGATIV COVIDTEST - MAKS 48 TIMER GAMMEL!",,69876.0,102128,,Udløbsslange for kaffe TP,1.0
WO000180,8000,2021-04-21 11:34:00,2021-04-21 13:05:00,BW122170,BW122170,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,Maskinen bliver ved med at melde flowfejl (siden 9.30 i morges).,"Ditte 24499703

",67563.0,130301923,119414,O Ring 2.90X1.78 EPDM 291,1.0
WO000190,5320,2021-04-20 12:26:00,2021-04-20 16:58:00,BW146994,BW146994,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Fra mail: Der kommer meget lidt i kopperne . Måske en deciliter.,,49654.0,130302026,120902,3 vejs ventil TP,1.0
WO000191,2100,2021-04-20 08:28:00,2021-04-20 12:32:00,BW085801,BW8200248H,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud,Nedbrud Frisk mælk Thermoplan,Vil ikke tage mælk ind,,293543.0,132000000,120701,Mælkepumpe TP,1.0
