Work Order,Postal Code,First Arrived On,Completed On,Primary Incident Customer Asset,Customer Asset,Line Status,Incident Type,Primær Asset Kategori,Primær Asset Produkt,Work Order Type,Primary Incident Type,Instructions,Intern note,Koptæller,Product ID (Product) (Product),Supplier Item number (Product) (Product),Name,Quantity
00031,2100,2021-04-19 09:36:00,2021-04-19 12:23:00,B1137758,B1137758H,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Nedbrud,Suger ikke mælk op.,"TLF afventer Lars T, procenter kommer ikke rigtig ind. ",24753.0,130302244,126753,Løfte ventil 3/2 ø4 DN3,1.0
00031,2100,2021-04-19 09:36:00,2021-04-19 12:23:00,B1137758,B1137758H,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Nedbrud,Suger ikke mælk op.,"TLF afventer Lars T, procenter kommer ikke rigtig ind. ",24753.0,130302197,125718,Kontraventil for rense blok BW4,1.0
00063,1600,2021-04-19 09:50:00,2021-04-23 11:12:00,B1137513,B1137513,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Nedbrud,maskine lægger lidt vand og den tager kun halvdelen af rensetabsen,1031121,92287.0,132000000,120701,Mælkepumpe TP,1.0
00063,1600,2021-04-19 09:50:00,2021-04-23 11:12:00,B1137513,B1137513,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Nedbrud,maskine lægger lidt vand og den tager kun halvdelen af rensetabsen,1031121,92287.0,130301672,116117,Vandpumpehoved TP,1.0
00063,1600,2021-04-19 09:50:00,2021-04-23 11:12:00,B1137513,B1137513,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Nedbrud,maskine lægger lidt vand og den tager kun halvdelen af rensetabsen,1031121,92287.0,130301129,101212,Lille eftersyns kit for BW4c,1.0
WO000117,3770,,2021-05-18 10:11:15,BW140249,,Used,,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,"Melder flowerror ved rens

Fejlfinding: d. 21/5-21 - Skiftet mælkecoil",,,130301715,116819,Milk Heating Coil TP,1.0
WO000144,4791,2021-04-20 09:45:00,2021-04-20 13:11:00,BW150495,BW150495,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Den blå rensenøgle er knækket og sidder fast.,,15624.0,130500006,428121140,Bestmax XL Filterpatron,1.0
WO000144,4791,2021-04-20 09:45:00,2021-04-20 13:11:00,BW150495,17250113,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Den blå rensenøgle er knækket og sidder fast.,,15624.0,130301259,104151,Magnet for rensenøgle,1.0
WO000146,6854,2021-04-22 13:11:00,2021-04-22 14:45:00,BW098572,BW098572,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTS2,Nedbrud,Nedbrud,"Kværnen sætter sætter sig fast i kværnen. Jette er villig til at prøve pr telefonen 
30660168",,53530.0,130301126,101209,Kit for 50k service af Bw3 brygmoduler,1.0
WO000147,8210,2021-04-21 09:55:00,2021-07-08 15:49:00,BW150240,BW106913H,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,"Mail fra Kontra: flow error, ingen mælk",,105452.0,X130302082,121950,Renseblok piller TP,1.0
WO000147,8210,2021-04-21 09:55:00,2021-07-08 15:49:00,BW150240,BW106913H,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,"Mail fra Kontra: flow error, ingen mælk",,105452.0,132000000,120701,Mælkepumpe TP,1.0
WO000147,8210,2021-04-21 09:55:00,2021-07-08 15:49:00,BW150240,BW106913H,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,"Mail fra Kontra: flow error, ingen mælk",,105452.0,130301715,116819,Milk Heating Coil TP,1.0
WO000147,8210,2021-04-21 09:55:00,2021-07-08 15:49:00,BW150240,201903001095,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,"Mail fra Kontra: flow error, ingen mælk",,105452.0,130301806,117705,Ventil 3/2 vejs,1.0
WO000151,2200,2021-04-19 12:31:00,2021-04-19 15:18:00,BW094931,BW094931,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,melder flow error. Kontakt Eva når vi er fremme.,Meldt ind af CD,30283.0,130301535,108793,Ventil Pakning TP,2.0
WO000151,2200,2021-04-19 12:31:00,2021-04-19 15:18:00,BW094931,BW105228H,Used,Nedbrud Frisk mælk Thermoplan,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,melder flow error. Kontakt Eva når vi er fremme.,Meldt ind af CD,30283.0,132000000,120701,Mælkepumpe TP,1.0
WO000151,2200,2021-04-19 12:31:00,2021-04-19 15:18:00,BW094931,BW105228H,Used,Nedbrud Frisk mælk Thermoplan,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,melder flow error. Kontakt Eva når vi er fremme.,Meldt ind af CD,30283.0,130301128,101211,Renseblock kit for BW3,1.0
WO000175,9850,2021-04-26 09:30:00,2021-04-26 11:11:00,BW084482,BW084482,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud,Nedbrud,"Gennemgang før opstart. 
Færge er i dok fra kl.7 til kl.19 mandag d. 26/4. 
PÅKRÆVET NEGATIV COVIDTEST - MAKS 48 TIMER GAMMEL!",,69876.0,130301845,118093,Mælkeslange Kort TP,1.0
