Work Order,Instructions,Product ID (Product) (Product),Quantity,Primær Asset Produkt,Work Order Type
WO000434,Giver ingen mælkedrikke,['130301992'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO015448,Problemer med at lave kaffe.,['131000011R'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO050805,Kakao flyder over. Har haft tragt ude for at rengøre.,['130302164'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO019311,"Melder fejl på koger, er genstartet flere gange uden held.
Skal køres søndag, efteraftale med kunde Melder fejl på koger, er genstartet flere gange uden held.
Skal køres søndag, efteraftale med kunde Melder fejl på koger, er genstartet flere gange uden held.
Skal køres søndag, efteraftale med kunde","['130305722', '130301453', '130302294']","[1.0, 1.0, 2.0]",Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO047060,"Er tændt, men display er sort",['130306027'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO008929,Der løber vand i grumseskuffen. Der løber vand i grumseskuffen. Der løber vand i grumseskuffen.,"['130301308', '130301892', '130301318']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO005968,"Der løber vand nedenud af maskinen + billedet på display forsvinder indimellem + i går meldte den fejl under rens - de kunne ikke se hvilken fejl, da skærmen var sløret.",['130301327'],[2.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO048738,Den er utæt. Hun har talt med Kjeld Den er utæt. Hun har talt med Kjeld,"['130301114', '130307283']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4 CTM2 TC 230V,Nedbrud
WO013111,Knurre i stedet for at trække mælk og slutter med at spytte en lille smule vand i mælkebeholderen. ,['130302294'],[3.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO005518,Melder flow error,['130301715'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO032265,"Utæt med mælk, fra flere steder under maskinen. Fået kunde til at fjerne mælkebeholder, så der ikke ryger mere mælk ud.",['132000000'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO024976,"Hej Frank
Godt nytår…
Der kommer vand fra kaffemaskinen eller vandmaskinen 3. syd - vil du/ I kigge forbi?
Mvh Bettina ",['132000000'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO045193,"Maskine BW4c på 3. sal.
Melder water flow error ved valg af kaffe. Kværner ikke bønner. Kakao udleveres OK.",['130301273'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Nedbrud
WO053285,"Maskinen melder 'Koger ikke klar' og har gjort det nogle uger. De har kunnet klar det med genstart, men nu kan de ikke få gang i den mere.",['130305722'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
