Work Order,Instructions,Product ID (Product) (Product),Quantity,Primær Asset Produkt,Work Order Type
00031,Suger ikke mælk op. Suger ikke mælk op. Suger ikke mælk op.,"['130302244', '130301137', '130302197']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
00063,maskine lægger lidt vand og den tager kun halvdelen af rensetabsen maskine lægger lidt vand og den tager kun halvdelen af rensetabsen maskine lægger lidt vand og den tager kun halvdelen af rensetabsen,"['130301672', '132000000', '130301129']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
00085,Ønsker opstart af maskinerne inden åbning. Den 19 eller 20. april.,['130301535'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO000117,"Melder flowerror ved rens

Fejlfinding: d. 21/5-21 - Skiftet mælkecoil",['130301715'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000144,Den blå rensenøgle er knækket og sidder fast. Den blå rensenøgle er knækket og sidder fast. Den blå rensenøgle er knækket og sidder fast.,"['130302031', '130500006', '130301259']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000146,"Kværnen sætter sætter sig fast i kværnen. Jette er villig til at prøve pr telefonen 
30660168 Kværnen sætter sætter sig fast i kværnen. Jette er villig til at prøve pr telefonen 
30660168","['130301280', '130301126']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO000147,"Mail fra Kontra: flow error, ingen mælk Mail fra Kontra: flow error, ingen mælk Mail fra Kontra: flow error, ingen mælk Mail fra Kontra: flow error, ingen mælk Mail fra Kontra: flow error, ingen mælk","['130301806', '130301715', '130302070', 'X130302082', '132000000']","[1.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000151,melder flow error. Kontakt Eva når vi er fremme. melder flow error. Kontakt Eva når vi er fremme. melder flow error. Kontakt Eva når vi er fremme.,"['132000000', '130301128', '130301535']","[1.0, 1.0, 2.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000160,Problemer med mælkedrikkene og ,['130301715'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000175,"Gennemgang før opstart. 
Færge er i dok fra kl.7 til kl.19 mandag d. 26/4. 
PÅKRÆVET NEGATIV COVIDTEST - MAKS 48 TIMER GAMMEL! Gennemgang før opstart. 
Færge er i dok fra kl.7 til kl.19 mandag d. 26/4. 
PÅKRÆVET NEGATIV COVIDTEST - MAKS 48 TIMER GAMMEL!","['102128', '130301845']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO000180,Maskinen bliver ved med at melde flowfejl (siden 9.30 i morges). Maskinen bliver ved med at melde flowfejl (siden 9.30 i morges). Maskinen bliver ved med at melde flowfejl (siden 9.30 i morges).,"['130301923', '132000000', '130301901']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000181,"Gennemgang før opstart. 
Færge er i dok fra kl.7 til kl.19 mandag d. 26/4.  Gennemgang før opstart. 
Færge er i dok fra kl.7 til kl.19 mandag d. 26/4. ","['130301893', '130300346']","[1.0, 2.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO000190,Fra mail: Der kommer meget lidt i kopperne . Måske en deciliter. Fra mail: Der kommer meget lidt i kopperne . Måske en deciliter.,"['130302026', '131000009R']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000191,Vil ikke tage mælk ind Vil ikke tage mælk ind Vil ikke tage mælk ind Vil ikke tage mælk ind Vil ikke tage mælk ind Vil ikke tage mælk ind,"['132000000', '130301624', '130301280', '130301535', '130301715', '130301127']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO000195,Maskinen ude af drift efter nedlukning. Kalder på service og filterskift.,['130500004'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
