Work Order,Instructions,Product ID (Product) (Product),Quantity,Primær Asset Produkt,Work Order Type
WO005157,Maskine lækker vand. ,['130302269'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO005524,Problemer med kakao - der lyder som 2 tandhjul der kører mod hinanden - når de trækker kakao. Problemer med kakao - der lyder som 2 tandhjul der kører mod hinanden - når de trækker kakao. Problemer med kakao - der lyder som 2 tandhjul der kører mod hinanden - når de trækker kakao.,"['130302194', '130302197', '130301127']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO002109,Lægger lidt vand under maskinen. ,['130302253'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO026317,Maskine udsat for hærværk. Blandt andet er udløbshovede ødelagt. sidder skævt og sidder næsten ikke fast på maskinen. Maskine udsat for hærværk. Blandt andet er udløbshovede ødelagt. sidder skævt og sidder næsten ikke fast på maskinen.,"['130301704', '130301611']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO002282,"Giver stadig halve kopper kaffe. 

Maskinen står i nr 29. 
",['130305527'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO018385,Utæt ned slangesamling under bunden af maskinen. ,['130303478'],[2.0],Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO041555,"RING 42652323 Gry og aftal besøg  - Når den kører rens drypper afløbsslangen oppe under maskinen, de benytter spilddunk.   ",['130302194'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO026694,"Garanti !!!
Samme fejl som sidst.
Den giver ingen mælk, samt den stopper i rengøring ved mælken.",['130302227'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P TC,Nedbrud
WO032935,Melder udløbsfejl Melder udløbsfejl,"['130301175', '131000007R']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO048738,Den er utæt. Hun har talt med Kjeld Den er utæt. Hun har talt med Kjeld,"['130301114', '130307283']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4 CTM2 TC 230V,Nedbrud
WO021147,Skrigende skinger metallisk lyd. Kommer ved rengøringsprogram og når de laver kaffe. Skrigende skinger metallisk lyd. Kommer ved rengøringsprogram og når de laver kaffe.,"['130301280', '130301624']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO010208,"Den maskine i morgenmadsrestauranten, der står alene (den nyeste): De kan ikke dreje den blå rensenøgle.",['130301963'],[2.0],Thermoplan Kaffemaskine BW4 CTM2 2M RL TC 380V,Nedbrud
WO036802,"Maskinen mælder mælketemperatur for høj, selvom mælken er ok. De har skiftet mælk og tjekket temperatur uden held.",['130302269'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO047682,Tekniker noter serienummer samt opdater placering. En af maskinerne på 3. sal er skærmen sort.  Powercycle er forsøgt flere gange.,['130306027'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS TC,Nedbrud
WO019627,Maskinen skriver noget med vandflow - kunden ønsker service så hurtigt som muligt da der er rigtig mange gæster  Maskinen skriver noget med vandflow - kunden ønsker service så hurtigt som muligt da der er rigtig mange gæster ,"['130302201', '130302263']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO000563,Sviner med kaffe i,['130301686'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO016509,Mælken i maskinen er utæt. Kunder oplyser at det virker som om der er hul på en af slangerne. De har forsøgt at rense maskinen. Mælken i maskinen er utæt. Kunder oplyser at det virker som om der er hul på en af slangerne. De har forsøgt at rense maskinen.,"['130301773', '132000000']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO005055,"Når de trykker på midten af touchskærmen, så aktivere den de forkerte knapper og de kan ikke stoppe maskinen igen.",['130301719'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
